Country;Area;Waterbody Type;Date;Ammonia (mg/l);Biochemical Oxygen Demand (mg/l);Dissolved Oxygen (mg/l);Orthophosphate (mg/l);pH (ph units);Temperature (cel);Nitrogen (mg/l);Nitrate (mg/l);CCME_Values;CCME_WQI
Canada;ES030ESPFTA60702001;River;27/11/2019;0.1;2.0;8.140.769.231;0.15;7.79;1.926.384.615;0.4;5.0;8.930.746.921.663.360;Good
Canada;ES040ESPF000400423;Lake;28/11/2019;16.625;42.35;10.705;0.7505;7.79;183.875;0.4;17.65;57.223.170.975.470.600;Marginal
Canada;ES040ESPF000400518;Lake;29/11/2019;1.29;72.0;11.684.103.383.014.400;55.125;7.79;15.59;0.4;25.175;436.154.880.509.584;Poor
Canada;ES040ESPF000400157;River;30/11/2019;0.100666667;5.0;97.415;0.061;7.79;12.09;0.4;4.0;9.311.672.543.579.720;Good
Canada;ES030ESPFTA65808003;River;01/12/2019;0.1;2.0;8.383.333.333;0.1;7.79;1.201.666.667;0.4;5.0;9.187.448.244.207.810;Good
Canada;ES060ESBTP-06-37-013;River;02/12/2019;20.0;3.7;9.824;0.46;7.79;16.97;0.4;17.8;519.972.538.676.821;Marginal
Canada;ES020ESPF004300452;River;03/12/2019;0.1;5.0;7.918;0.2;7.79;1.206.666.667;0.4;0.466666667;8.659.700.897.114.690;Good
Canada;ES0910002;River;04/12/2019;0.15;213.333;8.05;0.14;7.79;16.75;0.4;7.875;8.985.046.233.665.670;Good
Canada;ES070ESPFELC1;River;05/12/2019;0.1;2.0;7.853.088.593;0.2;7.79;1.896.274.737;0.4;1.198;8.659.700.897.114.690;Good
Canada;ES030ESPFTA60503005;River;06/12/2019;0.1;2.0;9.218;0.04;8.0;20.4;0.4;22.25;100.0;Excellent
Canada;ES070ESPFCARA1;River;07/12/2019;0.1125;2.0;11.684.103.383.014.400;0.05825;7.9;1.971.666.667;0.4;0.8275;9.315.074.623.836.310;Good
Canada;ES014ESBT14-GW-0060;River;08/12/2019;0.05;213.333;9.824;0.061;7.79;12.55;0.4;0.3;9.311.672.543.579.720;Good
Canada;ES070ESPFQUI2;River;09/12/2019;5.515;3.165;2.425;45.625;7.94;16.65;0.4;9.2;4.666.843.689.667.030;Marginal
Canada;ES0910004;River;10/12/2019;0.15;213.333;9.6;0.07625;7.75;1.648.333.333;0.4;10.6;9.277.809.537.020.970;Good
Canada;ES0910227;River;11/12/2019;0.15;213.333;8.883.333.333;0.2925;7.7;1.551.666.667;0.4;31.9;8.204.237.608.974.560;Good
Canada;ES070ESBTCA07000042;River;12/12/2019;0.1;2.406.666.667;8.566.666.667;0.364333333;8.45;20.75;0.4;12.0;7.901.713.408.170.680;Fair
Canada;ES030ESPFTA60109001;River;13/12/2019;0.1;2.8;11.684.103.383.014.400;0.087;7.75;1.851.666.667;0.4;3.615.333.333;9.241.410.465.041.740;Good
Canada;ES063ESPFAA0000697;River;14/12/2019;0.12025;2.58;9.925;0.53875;7.79;12.425;0.4;11.325;7.320.316.646.546.950;Fair
Canada;ES030ESPFTA60503005;River;15/12/2019;0.1;2.0;9.243.333.333;0.15;8.15;1.354.666.667;0.4;1.673.444.444;8.930.746.921.663.360;Good
Canada;ES070ESPFEPU1;River;16/12/2019;0.159;2.21;9.824;0.2;7.7;12.0;0.4;0.541;8.659.700.897.114.690;Good
Canada;ES070ESPFGUA2;River;17/12/2019;4.606.428.571;6.8;9.824;1.844.285.714;7.95;12.0;0.4;4.348.857.143;4.343.102.000.677.430;Poor
Canada;ES030ESPFTACC573045;River;18/12/2019;0.05;2.0;8.35;0.05;7.8;14.75;0.4;0.24;100.0;Excellent
Canada;ES040ESBT000400081;River;19/12/2019;20.0;15.1;10.9;4.79;7.65;17.2;0.4;52.6;4.038.520.722.112.520;Poor
Canada;ES064ESPFAA0000781;River;20/12/2019;0.05;2.0;9.3;0.63;7.9;17.275;0.4;1.0;7.081.660.743.620.630;Fair
Canada;ES100ESPF100009000;River;21/12/2019;0.1;2.0;9.182.857.143;0.048166667;8.15;1.742.857.143;0.4;1.838.333.333;100.0;Excellent
Canada;ES014ESBT14-GW-0460;River;22/12/2019;0.05;13.6;9.824;0.075;7.8;1.566.666.667;0.4;3.978.333.333;8.450.503.416.282.690;Good
Canada;ES0911464;River;23/12/2019;0.15;213.333;8.8;0.05;61.517;14.7;0.4;9.266.666.667;100.0;Excellent
Canada;ES030ESPFTA62110005;River;24/12/2019;0.124;2.0;6.988;0.62;6.445;16.878;0.4;5.0;7.106.055.278.864.710;Fair
Canada;ES0913020;River;25/12/2019;0.15;213.333;10.275;0.05;63.667;14.25;0.4;74.475;9.256.836.222.200.950;Good
Canada;ES030ESPFTAAV532001;River;26/12/2019;0.21875;2.75;8.425;0.065;6.75;13.0;0.4;0.9;9.305.146.954.360.410;Good
Canada;ES0910165;River;27/12/2019;0.15;213.333;9.2;0.0525;8.49;15.46;0.4;4.5;9.319.144.604.288.980;Good
Canada;ES070ESPFMUN4;River;28/12/2019;0.1;2.0;9.824;0.2;8.23;12.0;0.4;1.768.333.333;8.659.700.897.114.690;Good
Canada;ES0910166;River;29/12/2019;0.15;213.333;9.5;0.05;6.345;12.35;0.4;8.9;100.0;Excellent
Canada;ES070ESPFECR1;Lake;30/12/2019;0.1;2.0;9.824;0.2;7.79;12.0;0.4;1.64;8.659.700.897.114.690;Good
Canada;ES040ESBT000400163;River;31/12/2019;7.5;11.2;6.12;0.061;65.817;14.0;0.4;12.7;6.191.021.201.534.590;Marginal
Canada;ES063ESPFAA0000704;River;01/01/2020;0.21655;213.333;7.35;0.443;63.867;13.85;0.4;6.5;7.615.794.351.192.590;Fair
Canada;ES060ESPFMA041;River;02/01/2020;0.05;2.0;11.1;0.0675;7.79;16.5;0.4;3.95;9.300.168.804.580.110;Good
Canada;ES070ESPFERO1;River;03/01/2020;0.24;3.45;9.824;0.108;63.729;12.0;0.4;7.2;9.150.296.940.141.560;Good
Canada;ES040ESPF000400502;River;04/01/2020;0.046;2.0;8.85;0.061;6.31;15.3;0.4;4.0;9.311.672.543.579.720;Good
Canada;ES0912113;River;05/01/2020;0.15;213.333;1.196.666.667;0.05;8.09;1.216.666.667;0.4;22.3;100.0;Excellent
Canada;ES0910114;River;06/01/2020;0.15;213.333;11.65;0.05;65.302;13.2;0.4;3.225;100.0;Excellent
Canada;ES040ESPF000400583;Lake;07/01/2020;7.05;38.925;5.475;15.925;7.08;16.025;0.4;14.975;52.648.792.062.142.200;Marginal
Canada;ES014ESBT14-GW-0600;River;08/01/2020;0.05;213.333;9.824;0.061;799.167;1.473.333.333;0.4;0.3;9.311.672.543.579.720;Good
Canada;ES014ESBT14-GW-0390;River;09/01/2020;0.05;213.333;9.824;0.061;761.167;1.246.666.667;0.4;0.3;9.311.672.543.579.720;Good
Canada;ES040ESBT000400130;River;10/01/2020;0.2495;8.0;9.824;0.06975;755.333;14.7;0.4;42.25;8.599.603.648.396.370;Good
Canada;ES0910013;River;11/01/2020;0.15;213.333;10.6;0.05;7.625;11.05;0.4;1.3;100.0;Excellent
Canada;ES030ESPFTAAV556083;River;12/01/2020;0.05;2.0;8.225;0.05;80.225;12.5;0.4;0.895;100.0;Excellent
Canada;ES040ESPF000400513;River;13/01/2020;0.1;76.125;9.824;0.36;747.583;12.0;0.4;5.0;7.562.489.371.548.540;Fair
Canada;ES014ESBT14-GW-0520;River;14/01/2020;0.05;5.78;7.286;0.08655;806.667;1.381.666.667;0.4;0.3;9.243.102.228.026.940;Good
Canada;ES014ESBT14-GW-0660;River;15/01/2020;0.05;213.333;9.824;0.061;780.833;4.166.666.667;0.4;0.3;8.582.335.063.604.510;Good
Canada;ES040ESPF000400583;Lake;16/01/2020;240.175;11.6;11.684.103.383.014.400;0.71175;732.667;14.66;0.4;4.0;5.980.972.424.153.510;Marginal
Canada;ES070ESBTCA0741001;River;17/01/2020;0.071;2.0;10.3;0.276;768.333;13.7;0.4;1.0;8.279.968.064.903.360;Good
Canada;ES063ESPFAA00000837;River;18/01/2020;0.05;2.245;8.75;0.485;806.667;14.3;0.4;1.0;7.479.790.817.376.910;Fair
Canada;ES070ESPFZUM1;River;19/01/2020;0.1;2.0;9.824;0.05;7.825;12.0;0.4;3.266.666.667;100.0;Excellent
Canada;ES060ESPFMA020;River;20/01/2020;0.735;2.0;7.836.666.667;0.693;754.167;1.846.666.667;0.4;4.733.333.333;6.670.747.023.058.770;Fair
Canada;ES060ESBTMD5234;River;21/01/2020;0.05;213.333;9.824;0.2;753.167;16.8;0.4;9.05;8.659.700.897.114.690;Good
Canada;ES060ESPFMA094;Lake;22/01/2020;8.06;8.55;4.43;1.197.333.333;793.333;1.496.666.667;0.4;6.925;5.148.199.092.729.970;Marginal
Canada;ESC013010001;River;23/01/2020;0.2;2.0;6.355.634.119;0.15;750.833;12.76;0.4;11.36;8.930.746.921.663.360;Good
Canada;ESC013012002;River;24/01/2020;0.2;2.0;7.571.596.639;0.061;7.835;9.98;0.4;4.34;9.311.672.543.579.720;Good
Canada;ES030ESPFTAAV579034;River;25/01/2020;0.1765;2.0;7.475;0.11875;786.667;16.0;0.4;0.33;9.097.061.603.706.530;Good
Canada;ES091ESBT251030025;River;26/01/2020;0.1;2.0;11.175;0.04;734.917;15.525;0.4;0.906;100.0;Excellent
Canada;ES070ESPFSEG1;River;27/01/2020;0.18;213.333;8.6;0.2375;839.286;1.606.666.667;0.4;36.2;8.466.133.728.938.370;Good
Canada;ES060ESBTC-06-12-001;River;28/01/2020;0.14;3.9;9.6;0.061;803.333;8.1;0.4;36.0;9.311.672.543.579.720;Good
Canada;ES063ESPFAA0000694;River;29/01/2020;0.144;2.455;9.25;0.254;7.95;14.4;0.4;8.65;8.384.728.346.130.720;Good
Canada;ES060ESPFMA088;River;30/01/2020;120.975;5.75;11.684.103.383.014.400;46.625;7.63;16.8;0.4;7.355;4.595.815.797.716.520;Marginal
Canada;ES110MSBT1901M1Q1;River;31/01/2020;0.2025;213.333;9.824;0.0625;8.1;12.0;0.4;1.666.666.667;9.309.439.326.463.160;Good
Canada;ES030ESPFTA62409001;River;01/02/2020;5.85;213.333;6.754;6.14;768.667;14.68;0.4;11.912;4.533.695.187.885.120;Marginal
Canada;ES040ESPF000400253;River;02/02/2020;32.325;18.375;8.174;353.375;800.917;12.004;0.4;340.625;3.959.399.663.706.770;Poor
Canada;ES063ESPFAA0000696;River;03/02/2020;0.38625;2.0;76.475;11.485;7.9;14.5;0.4;19.425;6.204.405.648.983.490;Marginal
Canada;ES020ESPF004300246;River;04/02/2020;0.1093;4.619;7.35;0.07745;7.6;1.319.090.909;0.4;4.0;9.274.195.898.633.400;Good
Canada;ES060ESPFMA075;River;05/02/2020;0.0514;2.25;11.684.103.383.014.400;0.0618;778.333;18.42;0.4;9.68;9.310.514.022.359.370;Good
Canada;ES063ESPFAA0000750;River;06/02/2020;0.05;2.0;9.6;0.115;769.167;18.125;0.4;1.0;9.115.989.736.643.740;Good
Canada;ES060ESPFMA072;River;07/02/2020;0.0625;55.475;2.98;0.05;796.667;19.15;0.4;26.725;100.0;Excellent
Canada;ES070ESBTCA0732004;River;08/02/2020;0.1;2.0;9.824;0.061;7.79;21.225;0.4;34.75;9.311.672.543.579.720;Good
Canada;ES070ESBTCA0728002S;River;09/02/2020;0.1;8.225;9.824;0.061;7.79;25.225;0.4;0.3;7.940.276.387.501.380;Fair
Canada;ES030ESPFTA60009009;River;10/02/2020;0.1;2.0;8.203.333.333;0.474444444;805.667;1.422.444.444;0.4;5.0;7.512.979.661.057.350;Fair
Canada;ES030ESPFTA48703002;River;11/02/2020;0.1;2.0;8.273.333.333;0.15;760.833;1.044.666.667;0.4;6.486.445.915;8.930.746.921.663.360;Good
Canada;ES040ESPF000400155;River;12/02/2020;0.046;2.0;8.654;0.061;8.36;13.48;0.4;55.0;8.623.747.513.155.940;Good
Canada;ES0913012;River;13/02/2020;0.13;213.333;9.65;0.05;7.95;17.1;0.4;25.325;100.0;Excellent
Canada;ES0910038;River;14/02/2020;0.13;213.333;9.483.333.333;0.1475;6.321;1.511.666.667;0.4;4.175;8.944.369.361.473.340;Good
Canada;ES030ESPFTA56201002;River;15/02/2020;0.1;2.0;9.609.001.805;0.15;8.3;21.485;0.4;0.471904762;8.930.746.921.663.360;Good
Canada;ES040ESPF000400197;River;16/02/2020;0.046;23.125;8.471.111.111;0.122375;797.586;1.465.555.556;0.4;20.175;907.846.268.233.943;Good
Canada;ES040ESPF000400393;River;17/02/2020;0.064857143;2.614.285.714;8.625;0.061;7.79;15.225;0.4;5.942.857.143;9.311.672.543.579.720;Good
Canada;ES030ESPFTA57411009;River;18/02/2020;0.1;2.0;9.266.666.667;0.1;7.79;1.316.666.667;0.4;5.0;9.187.448.244.207.810;Good
Canada;ES030ESPFTA57411010;River;19/02/2020;0.1;2.0;8.375.862.069;0.1;773.077;2.034.137.931;0.4;5.0;9.187.448.244.207.810;Good
Canada;ES030ESPFTA48703001;River;20/02/2020;0.1;213.333;8.356.133.333;0.15;789.917;1.566.086.957;0.4;5.258;8.930.746.921.663.360;Good
Canada;ES040ESPF000400393;River;21/02/2020;0.1;5.0;8.836;0.2;7.475;12.06;0.4;0.695;8.659.700.897.114.690;Good
Canada;ES014ESBT14-GW-0030;River;22/02/2020;20.0;4.3;9.824;0.4;777.958;15.85;0.4;11.4;5.222.940.936.312.300;Marginal
Canada;ES014ESBT14-GW-0370;River;23/02/2020;0.05;213.333;9.824;0.061;818.333;17.7;0.4;6.166.666.667;8.612.464.114.843.970;Good
Canada;ES030ESPFTA62210005;River;24/02/2020;0.24875;4.15;7.375;0.11625;784.267;18.5;0.4;1.185;9.109.718.577.970.550;Good
Canada;ES030ESPFTA62210006;River;25/02/2020;0.05;2.0;7.85;0.0975;794.167;16.0;0.4;0.4725;9.198.510.280.125.230;Good
Canada;ES014ESBT14-GW-0430;River;26/02/2020;0.05;213.333;9.824;0.061;7.875;1.461.666.667;0.4;1.158.333.333;9.311.672.543.579.720;Good
Canada;ES014ESBT14-GW-0260;River;27/02/2020;0.05;213.333;9.824;0.061;7.79;1.246.666.667;0.4;0.3;9.311.672.543.579.720;Good
Canada;ES030ESPFTA59909075;River;28/02/2020;0.1;2.0;8.153.846.154;0.1;815.833;1.953.076.923;0.4;5.0;9.187.448.244.207.810;Good
Canada;ES040ESPF000400419;River;29/02/2020;0.046;2.0;68.678.307.693;0.061;761.667;1.739.362.963;0.4;32.96;9.311.672.543.579.720;Good
Canada;ES014ESBT14-GW-0210;River;01/03/2020;0.05;213.333;9.824;0.061;753.231;1.198.333.333;0.4;10.2;9.311.672.543.579.720;Good
Canada;ES014ESBT14-GW-0030;River;02/03/2020;0.05;213.333;9.824;0.061;7.525;1.153.333.333;0.4;0.3;9.311.672.543.579.720;Good
Canada;ES040ESPF000400570;Lake;03/03/2020;0.046;2.04;853.132.967;0.061;8.075;1.824.557.692;0.4;48.1;8.632.380.657.802.550;Good
Canada;ES040ESPF000400444;Lake;04/03/2020;0.046;2.148.333.333;8.732.585.227;0.061;7.84;16.893.375;0.4;3.518.333.333;9.311.672.543.579.720;Good
Canada;ES0910504;River;05/03/2020;0.13;213.333;9.175;0.275;770.583;17.925;0.4;7.9;8.284.635.773.048.530;Good
Canada;ES030ESPFTA68013003;River;06/03/2020;0.1;2.0;11.684.103.383.014.400;0.1;781.417;1.396.666.667;0.4;5.0;9.187.448.244.207.810;Good
Canada;ES060ESPFMA082;River;07/03/2020;0.25525;26.925;8.9;0.12375;7.545;16.475;0.4;24.125;9.071.339.156.541.740;Good
Canada;ES0910214;River;08/03/2020;0.13;2.0;10.42;0.16375;832.917;15.62;0.4;8.25;8.855.595.641.459.780;Good
Canada;ES091ESBT251160017;River;09/03/2020;0.1;213.333;9.824;0.061;6.75;15.61;0.4;30.0;9.311.672.543.579.720;Good
Canada;ES100ESBT08187-0039;River;10/03/2020;20.0;7.4;9.824;0.061;7.975;17.3;0.4;114.1;47.698.613.138.213.900;Marginal
Canada;ES040ESPF000400480;River;11/03/2020;0.1;213.333;8.633.333.333;0.2;716.667;1.153.333.333;0.4;0.83;8.659.700.897.114.690;Good
Canada;ES0912232;River;12/03/2020;0.13;213.333;10.25;0.16;7.875;13.225;0.4;8.2;8.876.103.711.876.220;Good
Canada;ES030ESPFTA56005002;River;13/03/2020;2.386;2.0;11.684.103.383.014.400;2.468;771.667;16.338;0.4;17.928;5.113.347.748.857.220;Marginal
Canada;ES0912238;River;14/03/2020;0.13;213.333;11.5;0.05;771.667;13.125;0.4;14.775;100.0;Excellent
Canada;ES030ESPFTA65608001;River;15/03/2020;1.866;3.625;9.068.277.778;0.616;746.667;1.917.551.282;0.4;21.416;6.601.423.534.083.210;Fair
Canada;ES040ESBT000400114;River;16/03/2020;0.1;213.333;9.824;0.061;7.66;27.6;0.4;0.3;863.069.326.103.986;Good
Canada;ES091ESBT210870275;River;17/03/2020;0.2;2.0;9.925;0.2;800.833;14.4;0.4;5.125;8.659.700.897.114.690;Good
Canada;ES100ESBT17002-0007;River;18/03/2020;20.0;15.5;9.824;15.5;7.79;17.7;0.4;113.325;3.789.028.161.073.490;Poor
Canada;ES030ESPFTA62210002;River;19/03/2020;0.198;2.0;7.808;1.516;7.79;14.26;0.4;5.594;5.846.975.704.149.300;Marginal
Canada;ES064ESBTAA0010064;River;20/03/2020;0.05;213.333;9.824;0.061;7.79;15.3;0.4;66.0;860.371.314.292.823;Good
Canada;ES070ESPFELC1;River;21/03/2020;0.1775;2.0;9.824;0.04;7.79;12.0;0.4;7.575;100.0;Excellent
Canada;ES040ESBT000400132;River;22/03/2020;0.046;2.0;7.927.685.805;0.061;7.79;17.05;0.4;29.6;9.311.672.543.579.720;Good
Canada;ES030ESPFTA57510003;River;23/03/2020;0.11;2.0;7.4;0.328;7.79;16.42;0.4;5.0;8.049.364.886.996.590;Good
Canada;ES080ESPFES080-JU063;River;24/03/2020;26.525;5.3;11.684.103.383.014.400;67.425;7.79;15.875;0.4;4.55;4.408.297.746.023.240;Poor
Canada;ES030ESPFTA57510008;River;25/03/2020;0.1;2.0;6.794.986.413;0.15;7.79;1.667.828.095;0.4;5.0;8.930.746.921.663.360;Good
Canada;ES030ESPFTA57510001;River;26/03/2020;0.25;2.0;6.858.166.667;0.15;7.79;18.044;0.4;5.0;8.930.746.921.663.360;Good
Canada;ES030ESPFTA68208002;River;27/03/2020;0.1;2.0;8.606;0.159;7.79;13.24;0.4;5.0;8.881.573.156.470.000;Good
Canada;ES030ESPFTA68608001;River;28/03/2020;0.1;2.0;8.648;0.061;7.79;14.3;0.4;583.682;9.311.672.543.579.720;Good
Canada;ES070ESBTCA07000010;River;29/03/2020;0.05;213.333;9.824;0.061;7.79;17.8;0.4;87.0;8.548.016.268.947.140;Good
Canada;ES030ESPFTA60109005;River;30/03/2020;0.1;2.0;12.17;0.2155;7.79;9.5;0.4;59.55;8.088.838.880.807.480;Good
Canada;ES030ESPFTA60109005;River;31/03/2020;0.1;213.333;11.684.103.383.014.400;1.091.666.667;7.79;1.346.666.667;0.4;5.0;627.384.862.902.261;Marginal
Canada;ES0912060;River;01/04/2020;153.875;213.333;8.44;0.20875;7.79;15.56;0.4;45.3;7.305.156.687.621.680;Fair
Canada;ES0913036;River;02/04/2020;0.13;213.333;9.45;0.09375;7.79;19.4;0.4;14.375;9.214.534.221.261.760;Good
Canada;ES030ESPFTA60009009;River;03/04/2020;0.1;2.0;11.684.103.383.014.400;0.245;7.79;16.5;0.4;5.0;842.883.278.090.492;Good
Canada;ES040ESPF000400241;River;04/04/2020;0.05;2.0;11.0;0.05;7.79;13.0;0.4;3.975;100.0;Excellent
Canada;ES080ESPFES080-JU010;River;05/04/2020;0.13025;2.0;11.24;0.061;7.79;10.1;0.4;4.65;9.311.672.543.579.720;Good
Canada;ES020ESPF004300653;River;06/04/2020;0.436;2.0;7.506;0.509;7.79;17.44;0.4;22.022;7.406.672.983.708.500;Fair
Canada;ES030ESPFTA62509001;River;07/04/2020;0.1;2.0;7.266.666.667;1.616.666.667;7.79;1.468.333.333;0.4;5.0;577.010.395.875.184;Marginal
Canada;ES030ESPFTA68208001;River;08/04/2020;0.1;3.0;9.464;0.227;7.79;14.76;0.4;5.0;8.519.175.494.582.450;Good
Canada;ES060ESBTH-06-18-002-B;River;09/04/2020;0.05;213.333;9.22;0.06125;7.79;18.5;0.4;1.0;9.311.318.548.165.060;Good
Canada;ES070ESPFETA1;River;10/04/2020;0.1;2.06;9.824;0.2;7.79;12.0;0.4;2.036;8.659.700.897.114.690;Good
Canada;ES070ESPFEFU1;River;11/04/2020;0.1;2.0;9.824;0.2;7.79;12.0;0.4;0.991428571;8.659.700.897.114.690;Good
Canada;ES0913032;River;12/04/2020;0.13;213.333;9.225;0.05;7.79;13.875;0.4;1.233.333.333;100.0;Excellent
Canada;ES080ESPFES080-JU184;River;13/04/2020;0.05;2.0;10.75;0.05;7.79;15.25;0.4;492.125.175;100.0;Excellent
Canada;ES080ESPFES080-JU263;River;14/04/2020;0.046;2.0;11.605;0.061;7.79;13.925;0.4;7.475;9.311.672.543.579.720;Good
Canada;ES080ESPFES080-JU169;River;15/04/2020;0.05;2.0;10.265;0.061;7.79;15.0;0.4;5.525;9.311.672.543.579.720;Good
Canada;ES020ESPF004300814;River;16/04/2020;0.115;5.0;8.25;0.26;7.79;1.613.333.333;0.4;0.3;8.355.727.001.622.000;Good
Canada;ES060ESBTSUIG000938;River;17/04/2020;0.1;213.333;9.824;0.061;7.79;19.2;0.4;6.6;9.311.672.543.579.720;Good
Canada;ES0911254;River;18/04/2020;0.23375;213.333;8.325;0.2875;7.79;14.7;0.4;3.55;8.226.930.877.018.180;Good
Canada;ES0911297;River;19/04/2020;0.13;213.333;10.075;0.1425;7.79;19.225;0.4;9.925;8.971.525.953.181.800;Good
Canada;ES0910015;River;20/04/2020;0.13;213.333;9.375;0.05;7.79;14.9;0.4;6.7;100.0;Excellent
Canada;ES0912079;River;21/04/2020;0.13;213.333;13.25;0.05;7.79;11.3;0.4;1.0;100.0;Excellent
Canada;ES0911235;River;22/04/2020;0.13;213.333;9.7;0.05;7.79;13.66;0.4;4.125;100.0;Excellent
Canada;ES070ESBTCA0799006;River;23/04/2020;0.1;213.333;9.824;0.061;7.79;16.175;0.4;0.3;9.311.672.543.579.720;Good
Canada;ES080ESPFES080-JU197;River;24/04/2020;0.1;2.0;9.575;0.1;7.79;11.625;0.4;5.0;9.187.448.244.207.810;Good
Canada;ES080ESPFES080-JU034;River;25/04/2020;0.06575;3.2;139.675;0.061;7.79;20.8;0.4;8.835;9.311.672.543.579.720;Good
Canada;ES030ESPFTAAV578153;River;26/04/2020;0.05;2.0;9.175;0.05;7.79;12.0;0.4;1.975;100.0;Excellent
Canada;ES063ESBTAA0010009;River;27/04/2020;0.05;213.333;9.824;0.061;7.79;18.9;0.4;1.0;9.311.672.543.579.720;Good
Canada;ES0911253;River;28/04/2020;0.13;213.333;9.825;0.05;7.79;14.0;0.4;4.3;100.0;Excellent
Canada;ES100ESBT17030-0014;River;29/04/2020;20.0;2.0;9.1;0.15;7.79;16.85;0.4;78.85;5.072.564.557.461.080;Marginal
Canada;ES080ESPFES080-JU051;River;30/04/2020;0.070333333;2.0;1.040.000.025;0.061;7.79;144.333.334;0.4;7.566.666.667;9.311.672.543.579.720;Good
Canada;ES080ESPFES080-JU050;River;01/05/2020;8.678;2.0;9.824;0.85;7.79;12.0;0.4;14.978;55.739.246.057.502;Marginal
Canada;ES030ESPFTA57809002;River;02/05/2020;0.1;2.0;9.0;0.3;7.79;14.875;0.4;5.0;8.170.610.581.534.170;Good
Canada;ES030ESPFTAAV578049;River;03/05/2020;0.05;2.0;8.7;0.05;7.79;16.5;0.4;0.2;100.0;Excellent
Canada;ES0913001;River;04/05/2020;0.13;213.333;10.05;0.05625;7.79;15.45;0.4;5.55;931.696.776.046.934;Good
Canada;ES0912015;River;05/05/2020;0.13;213.333;9.425;0.05;7.79;16.025;0.4;10.55;100.0;Excellent
Canada;ES0911307;River;06/05/2020;0.21;213.333;9.425;0.19625;7.79;11.775;0.4;52.7;8.196.073.348.401.960;Good
Canada;ES080ESPFES080-JU175;River;07/05/2020;0.046;2.0;9.035;0.229375;7.79;15.475;0.4;5.58;8.507.095.415.633.120;Good
Canada;ES100ESPF110030000;River;08/05/2020;0.1;3.05;11.684.103.383.014.400;0.426666667;7.79;1.519.333.333;0.4;5.0;767.165.057.999.764;Fair
Canada;ES080ESPFES080-JU019;River;09/05/2020;0.0662;4.88;7.672;0.061;7.79;21.02;0.4;14.06;9.311.672.543.579.720;Good
Canada;ES040ESBT000400146;River;10/05/2020;20.0;213.333;9.824;0.061;7.79;12.9;0.4;11.1;5.374.292.850.625.200;Marginal
Canada;ES0910184;River;11/05/2020;0.13;213.333;9.2;0.05;7.79;13.325;0.4;4.85;100.0;Excellent
Canada;ES064ESBTAA0010111;River;12/05/2020;0.05;213.333;9.824;0.2;7.79;18.65;0.4;104.0;7.955.330.995.122.770;Fair
Canada;ES0910189;River;13/05/2020;0.13;213.333;10.475;0.11125;7.79;12.425;0.4;24.825;9.134.550.612.394.150;Good
Canada;ES030ESPFTA67614003;River;14/05/2020;0.1;2.0;8.593.333.333;0.15;7.79;13.0;0.4;5.0;8.930.746.921.663.360;Good
Canada;ES040ESPF000400237;River;15/05/2020;0.1;2.0;11.684.103.383.014.400;0.15;7.79;1.315.333.333;0.4;5.0;8.930.746.921.663.360;Good
Canada;ES080ESPFES080-JU193;River;16/05/2020;0.12625;4.575;8.73;0.35275;7.79;14.775;0.4;6.0;7.947.640.175.085.460;Fair
Canada;ES030ESPFTAAV578115;River;17/05/2020;0.05;2.0;9.666.666.667;0.05;7.79;1.433.333.333;0.4;0.253333333;100.0;Excellent
Canada;ES100ESBT17033-0072;River;18/05/2020;20.0;213.333;9.824;0.061;7.79;13.6;0.4;12.9;5.374.292.850.625.200;Marginal
Canada;ES020ESPF004300682;River;19/05/2020;0.1;5.0;10.86;0.2;7.79;1.376.666.667;0.4;3.7;8.659.700.897.114.690;Good
Canada;ES020ESPF004300647;River;20/05/2020;0.1;5.0;9.656;0.2;7.79;15.2;0.4;3.325;8.659.700.897.114.690;Good
Canada;ES030ESPFTA72914003;Lake;21/05/2020;0.1;6.325;8.47;0.15;7.79;21.2;0.4;0.45;839.871.910.610.087;Good
Canada;ES100ESBT08209-0015;River;22/05/2020;20.0;213.333;9.824;0.061;7.79;12.7;0.4;47.1;5.129.373.145.244.770;Marginal
Canada;ES030ESPFTA48205003;Lake;23/05/2020;0.1;213.333;7.683.333.333;0.15;7.79;12.16;0.4;5.0;8.930.746.921.663.360;Good
Canada;ES030ESPFTA48205002;Lake;24/05/2020;0.1;2.0;11.684.103.383.014.400;0.15;7.79;125.875;0.4;5.0;8.930.746.921.663.360;Good
Canada;ES0911280;River;25/05/2020;0.13;213.333;8.3;0.05;7.79;15.975;0.4;2.275;100.0;Excellent
Canada;ES0913016;River;26/05/2020;0.2275;213.333;8.6;0.4325;7.79;14.85;0.4;34.05;7.651.502.677.593.000;Fair
Canada;ES030ESPFTA57510002;River;27/05/2020;0.1;2.0;11.684.103.383.014.400;0.1875;7.79;13.95;0.4;5.0;8.726.528.765.769.700;Good
Canada;ES020ESPF004300676;River;28/05/2020;0.1;5.0;9.22;0.2;7.79;12.02;0.4;34.75;8.659.700.897.114.690;Good
Canada;ES030ESPFTA55110001;River;29/05/2020;0.1;2.0;7.675;0.15;7.79;15.75;0.4;5.0;8.930.746.921.663.360;Good
Canada;ES064ESBTAA0010032;River;30/05/2020;20.0;213.333;9.824;0.061;7.79;14.6;0.4;18.8;5.374.292.850.625.200;Marginal
